"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.525151390E0,-1.157364368E0,-4.677639902E-2,-1.289720535E-1,1.165467333E0
1.535130698E0,-1.184198618E0,3.032290936E-2,-2.584438324E-1,1.212451673E0
1.545140544E0,-1.053476572E0,1.147756577E-1,-2.337360382E-1,1.085181494E0
1.555150391E0,-1.103999853E0,1.228377074E-1,-2.218122482E-1,1.132742447E0
1.565129467E0,-1.144292355E0,1.524832398E-1,-1.671056747E-1,1.166439213E0
1.575139314E0,-1.221934795E0,1.191245019E-1,-6.891822815E-2,1.229660528E0
1.585149160E0,-1.378053188E0,1.372577995E-1,-2.544784546E-2,1.385105731E0
1.595128314E0,-1.389238358E0,1.151997745E-1,-7.802391052E-2,1.396188359E0
1.605138083E0,-1.319606781E0,1.120515615E-1,-2.119207382E-1,1.341203940E0
1.615147929E0,-1.413062096E0,9.391456842E-2,-2.161703110E-1,1.432582994E0
1.625127083E0,-1.348412514E0,8.420184255E-3,-1.383352280E-1,1.355516080E0
1.635136852E0,-1.031212330E0,8.762109280E-2,4.018497467E-2,1.035708046E0
1.645146468E0,-1.278968811E0,-8.787089586E-2,-5.615901947E-2,1.283213291E0
1.655125852E0,-1.001340866E0,-8.658109605E-2,-1.983442307E-1,1.024460956E0
1.665135622E0,-5.296630859E-1,-9.924799204E-2,-9.794235229E-2,5.477096429E-1
1.675145468E0,-2.525987625E-1,-4.257594049E-2,-2.729539871E-1,3.743297004E-1
1.685124622E0,1.790904999E-2,1.184576750E-2,-4.950246811E-1,4.954901524E-1
1.695134391E0,1.740198135E-1,2.912473679E-2,-5.216441154E-1,5.506757022E-1
1.705144237E0,1.848883629E-1,4.345953465E-2,-6.562004089E-1,6.831335262E-1
1.715123391E0,1.251511574E-1,1.133596897E-2,-6.652607918E-1,6.770252857E-1
1.725133237E0,1.879076958E-1,-4.893438518E-2,-6.065211296E-1,6.368451592E-1
1.735143006E0,2.925691605E-1,-5.421330035E-2,-5.151858330E-1,5.949388524E-1
1.745122160E0,5.328416824E-1,-2.034928203E-1,-4.719138145E-1,7.402919929E-1
1.755131929E0,5.469608307E-1,-3.125686049E-1,-2.519841194E-1,6.784992849E-1
1.765141776E0,4.451169968E-1,-3.546991050E-1,-1.336874962E-1,5.846477081E-1
1.775120929E0,3.337826729E-1,-3.209314942E-1,-4.863691330E-2,4.655893534E-1
1.785130699E0,2.744579315E-1,-2.025744021E-1,-7.414054871E-2,3.490850405E-1
1.795140545E0,2.542643547E-1,-1.104953140E-1,-1.440739632E-1,3.124370070E-1
1.805150391E0,2.540836334E-1,-9.265124798E-2,-1.532526016E-1,3.108522260E-1
1.815129468E0,2.141919136E-1,-1.191899478E-1,-4.416513443E-2,2.490682208E-1
1.825139314E0,1.772699356E-1,-1.284086406E-1,-1.169185638E-1,2.481599477E-1
1.835149160E0,1.517200470E-1,-9.898811579E-2,-1.501893997E-1,2.353178181E-1
1.845128314E0,1.808004379E-1,-3.518831730E-2,-1.895279884E-1,2.642874844E-1
1.855138084E0,1.934585571E-1,5.731198192E-2,-3.320684433E-1,3.885618710E-1
1.865147930E0,1.321749687E-1,8.294969797E-2,-3.651871681E-1,3.971303848E-1
1.875127084E0,1.529035568E-1,1.306642592E-1,-4.421615601E-1,4.857566176E-1
1.885136853E0,-1.574287415E-1,3.563933671E-1,1.010489464E-1,4.025058140E-1
1.895146468E0,-9.705467224E-1,2.078172863E-1,-9.619603157E-1,1.382214388E0
1.905125853E0,-3.885583878E-1,2.469168603E-1,-4.747920036E-1,6.613418203E-1
1.915135622E0,-1.971502304E-1,2.317961454E-1,-7.547683716E-1,8.138015490E-1
1.925145468E0,-1.075224876E-1,1.915636957E-1,-6.041336060E-1,6.428336867E-1
1.935124622E0,-6.532192230E-3,2.070018947E-1,-7.143545151E-1,7.437706818E-1
1.945134391E0,1.252737045E-1,1.592428386E-1,-7.858576775E-1,8.115565735E-1
1.955144238E0,2.717404366E-1,6.242260337E-2,-6.981973648E-1,7.518104858E-1
1.965123391E0,5.165328979E-1,4.008510709E-2,-9.241943359E-1,1.059503762E0
1.975133238E0,6.077384949E-1,-8.895714581E-2,-7.886075974E-1,9.995806093E-1
1.985143007E0,6.371440887E-1,-7.911145687E-3,-9.000477791E-1,1.102769777E0
1.995122161E0,5.081295967E-1,-1.176047325E-2,-6.014719009E-1,7.874658363E-1
2.005131930E0,4.748511314E-1,1.836711168E-2,-5.986347198E-1,7.643196161E-1
2.015141776E0,5.430026054E-1,1.491856575E-2,-5.678181648E-1,7.858065038E-1
2.025120930E0,5.792217255E-1,-4.902750254E-3,-5.775871277E-1,8.180028938E-1
2.035130776E0,5.480937958E-1,-3.849802911E-2,-4.948344231E-1,7.394254617E-1
2.045140546E0,5.137624741E-1,-5.616180599E-2,-4.104752541E-1,6.599969412E-1
2.055150392E0,5.199666023E-1,-7.510998845E-2,-4.150524139E-1,6.695336319E-1
2.065129469E0,5.289173126E-1,-1.022617519E-1,-3.858647346E-1,6.626481592E-1
2.075139315E0,5.043573380E-1,-7.868234813E-2,-4.540710449E-1,6.831893955E-1
2.085149161E0,5.625829697E-1,-6.699462235E-2,-4.883160591E-1,7.479575194E-1
2.095128315E0,4.344420433E-1,2.359750867E-2,-4.755167961E-1,6.445253717E-1
2.105138084E0,3.394036293E-1,1.146365851E-1,-4.119687080E-1,5.459437578E-1
2.115147930E0,2.564353943E-1,1.982961446E-1,-4.668388367E-1,5.683475801E-1
2.125127084E0,8.461380005E-2,3.262994885E-1,-3.928651810E-1,5.176619571E-1
2.135136853E0,6.262493134E-2,3.511406779E-1,-2.816972733E-1,4.545052381E-1
2.145146469E0,5.943393707E-2,3.676472008E-1,-1.794180870E-1,4.133856639E-1
2.155125853E0,8.423614502E-2,3.397189081E-1,-1.445569992E-1,3.786837607E-1
2.165135623E0,9.824848175E-2,2.791789174E-1,-1.346411705E-1,3.251490072E-1
2.175145469E0,1.152954102E-1,2.442335635E-1,-1.569123268E-1,3.123532351E-1
2.185124623E0,4.758167267E-2,2.200569361E-1,-1.671957970E-1,2.804344937E-1
2.195134392E0,-2.225399017E-2,2.248712778E-1,-1.581864357E-1,2.758356034E-1
2.205144238E0,7.290940285E-1,1.330495328E-1,3.393840790E-2,7.419111106E-1
2.215123392E0,-1.742105484E-1,1.790364981E-1,-1.013450623E-1,2.695815358E-1
2.225133238E0,-6.624450684E-1,1.075000167E-1,-6.543421745E-1,9.373117963E-1
2.235143008E0,-1.652145386E-1,1.768417060E-1,-2.347979546E-1,3.371926930E-1
2.245122161E0,-1.947488785E-1,1.746432930E-1,-3.858718872E-1,4.661807791E-1
2.255131931E0,-2.335109711E-1,2.317030877E-1,-3.561763763E-1,4.848456512E-1
2.265141777E0,-2.230443954E-1,2.495213747E-1,-3.664207458E-1,4.962598934E-1
2.275120931E0,-1.789293289E-1,2.494099587E-1,-3.829193115E-1,4.907629075E-1
2.285130777E0,-1.744489670E-1,1.359793693E-1,-3.051643372E-1,3.768926951E-1
2.295140546E0,-1.810607910E-1,6.986336410E-2,-2.379560471E-1,3.070618505E-1
2.305150392E0,-9.351253510E-2,3.028202057E-2,-2.265081406E-1,2.469160439E-1
2.315129469E0,1.670169830E-2,1.106637716E-2,-2.531528473E-1,2.539444339E-1
2.325139315E0,4.902458191E-2,1.279574633E-2,-2.890262604E-1,2.934336721E-1
2.335149162E0,-4.005336761E-2,9.273636341E-2,-2.295937538E-1,2.508338038E-1
2.345128315E0,-9.692668915E-2,8.887714148E-2,-2.274379730E-1,2.627203093E-1
2.355138085E0,-2.829323769E0,7.652542591E-1,3.397109032E0,4.486762401E0
2.365147931E0,7.851532459E0,-2.127046585E0,-1.058092117E1,1.334641457E1
2.375127085E0,-1.284525871E0,-7.271927595E-2,5.346819878E0,5.499434299E0
2.385136854E0,7.154703140E-1,-6.019998193E-1,-1.468709230E0,1.741094011E0
2.395146469E0,-6.674547195E-1,-6.101582944E-2,4.502792358E-1,8.074466696E-1
2.405125854E0,-1.063444138E0,6.621542573E-1,3.409705162E-1,1.298315288E0
2.415135623E0,-4.917020798E-1,2.355308235E-1,-1.680085659E-1,5.705020441E-1
2.425145469E0,-2.617206573E-1,-4.349850118E-2,-1.113035679E-1,2.877121935E-1
2.435124623E0,-2.473468781E-1,-3.134153783E-1,-4.774584770E-1,6.223955934E-1
2.445134393E0,-4.038953781E-1,-1.982152462E-1,-4.636356831E-1,6.460486103E-1
2.455144239E0,-2.908487320E-1,-2.015121728E-1,-7.282061577E-1,8.096198792E-1
2.465123393E0,-3.336219788E-1,-2.061458826E-1,-5.328052044E-1,6.615747391E-1
2.475133239E0,-2.869501114E-1,-2.020641863E-1,-5.236632824E-1,6.303915729E-1
2.485143008E0,-2.621955872E-1,-1.638309658E-1,-3.839128017E-1,4.929261107E-1
2.495122162E0,-2.628574371E-1,-2.172358185E-1,-1.101524830E-1,3.583559719E-1
2.505131931E0,-2.030391693E-1,-1.115629375E-1,-5.030980110E-1,5.538761612E-1
2.515141777E0,-1.987743378E-1,1.492496580E-2,-4.929475784E-1,5.317248415E-1
2.525120931E0,-1.581459045E-1,-3.695636988E-4,-5.511767864E-1,5.734161783E-1
2.535130701E0,-1.910610199E-1,-3.722776473E-2,-6.074774265E-1,6.379020642E-1
2.545140547E0,-2.563610077E-1,-7.038658857E-2,-6.265869141E-1,6.806514519E-1
2.555150393E0,-2.645778656E-1,-9.977628291E-2,-6.030728817E-1,6.660733100E-1
2.565129470E0,-2.924451828E-1,-8.401903510E-2,-6.089568138E-1,6.807435525E-1
2.575139316E0,-2.393140793E-1,-5.196494609E-2,-6.304085255E-1,6.763035510E-1
2.585149162E0,-1.744852066E-1,9.994592518E-3,-6.223964691E-1,6.464691361E-1
2.595128316E0,-1.147851944E-1,-2.276711166E-4,-7.024264336E-1,7.117433437E-1
2.605138085E0,-8.278179169E-2,1.063005626E-1,-2.564244270E-1,2.896655337E-1
2.615147931E0,5.702400208E-2,9.619060904E-2,-2.466776371E-1,2.708398544E-1
2.625127085E0,-4.335117340E-2,1.509067416E-2,-4.965789318E-1,4.986959877E-1
2.635136855E0,-8.858108521E-2,4.502294585E-2,-4.810357094E-1,4.911914372E-1
2.645146470E0,-8.334159851E-2,4.231916741E-2,-7.261439562E-1,7.321350825E-1
2.655125855E0,-1.221542358E-1,2.825418487E-2,-6.570266485E-1,6.688826303E-1
2.665135624E0,-1.376085281E-1,-1.376483589E-2,-5.643692017E-1,5.810664106E-1
2.675145470E0,-1.155195236E-1,1.870674640E-2,-6.501104832E-1,6.605591140E-1
2.685124624E0,-5.362129211E-2,6.124328822E-3,-5.007978678E-1,5.036975826E-1
2.695134393E0,-2.389411926E-1,9.388583153E-2,-5.318880081E-1,5.906033323E-1
2.705144239E0,-4.548282623E-1,-2.638548613E-1,-9.867956638E-1,1.118147494E0
2.715123393E0,-1.806240082E-1,-1.841749549E-1,-4.636316299E-1,5.305654857E-1
2.725133239E0,-7.507228851E-2,-2.673471719E-2,-1.446323395E-1,1.651336042E-1
2.735143009E0,-3.754520416E-2,-4.693849757E-2,-5.110253096E-1,5.145480851E-1
2.745122163E0,-5.070114136E-2,6.642462313E-2,-4.226268530E-1,4.308088824E-1
2.755131932E0,-6.670188904E-2,-3.784618527E-2,-2.005728483E-1,2.147345879E-1
2.765141778E0,7.275676727E-2,1.579429209E-2,-2.382102013E-1,2.495738505E-1
2.775120932E0,1.016540527E-1,6.929609179E-2,-1.851198673E-1,2.222720406E-1
2.785130701E0,8.265304565E-2,2.274170145E-2,-2.061983347E-1,2.233080029E-1
2.795140547E0,4.697132111E-2,2.223696560E-2,-2.717816830E-1,2.767057478E-1
2.805150393E0,3.053951263E-2,1.505501941E-2,-3.644646406E-1,3.660516216E-1
2.815129470E0,9.303092957E-2,4.642865062E-2,-3.892167807E-1,4.028648356E-1
2.825139317E0,-1.293392181E-1,1.845270023E-2,-4.424685240E-1,4.613540183E-1
2.835149163E0,-7.409286499E-2,-1.743513346E-1,-2.348725796E-1,3.017503424E-1
2.845128317E0,5.778312683E-2,7.409487665E-2,-4.702916741E-1,4.795864878E-1
2.855138086E0,5.978679657E-2,8.241757751E-4,-4.491671026E-1,4.531293704E-1
2.865147932E0,3.755664825E-2,3.024630621E-2,-4.807079136E-1,4.831205223E-1
2.875127086E0,4.817008972E-2,1.613404602E-2,-5.121744871E-1,5.146876434E-1
2.885136855E0,-1.869773865E-2,1.319864765E-2,-5.894897580E-1,5.899338815E-1
2.895146471E0,-2.062606812E-1,4.287059233E-2,-7.863777876E-1,8.141077208E-1
2.905125855E0,3.998339176E0,3.131691515E-1,-2.660123348E0,4.812592577E0
2.915135625E0,-9.754972458E-1,3.161875606E-1,2.311786890E0,2.529017215E0
2.925145471E0,-1.291249275E0,-2.483553886E0,-1.234345436E0,3.059243902E0
2.935124625E0,-7.925701141E-1,-1.715968013E0,-4.235816956E0,4.638411246E0
2.945134394E0,8.666753769E-1,-1.513255954E0,-6.388670444E0,6.622399855E0
2.955144240E0,3.471431732E-1,2.000393867E-1,1.326440334E0,1.385629135E0
2.965123394E0,2.939835548E0,7.498877048E-1,-1.426280141E0,3.352497526E0
2.975133240E0,1.374186516E0,-5.694251508E-2,-4.123518467E0,4.346842024E0
2.985143009E0,-3.387833595E0,-1.794358015E0,-1.809866875E-1,3.837954317E0
2.995122163E0,-7.399559021E-3,-2.385712862E-1,3.259281397E0,3.268009522E0
